AP,delta_50,delta_60,delta_70,delta_80,delta_90,delta_95
109,0.125,0.28000000000000114,0.14400000000000546,0.24200000000000088,-0.24400000000000333,-1.929999999999982
110,0.1650000000000027,0.22599999999999199,0.28299999999999415,0.09600000000000009,0.1650000000000027,0.08100000000000662
111,0.10999999999999943,0.40000000000000213,0.16900000000000048,0.0259999999999998,0.1370000000000111,-0.5
112,0.245000000000001,0.1159999999999961,0.05699999999999861,0.12200000000000699,0.37900000000000134,0.24199999999999378
113,0.23499999999999588,0.15400000000001057,0.1060000000000052,0.14000000000000057,-0.04299999999999926,-0.6080000000000005
114,-0.1750000000000007,-0.16599999999999682,-0.4479999999999933,-0.2480000000000011,-0.49499999999999034,-2.8944999999999865
115,-0.3299999999999983,-0.21399999999999864,-0.15200000000000102,-0.0800000000000054,-0.6160000000000032,-2.041499999999999
116,-0.38500000000000156,-0.3759999999999941,-0.3880000000000017,-0.17999999999999972,-0.992999999999995,-2.8700000000000045
117,-0.19000000000000128,0.0040000000000048885,-0.13000000000000256,-0.1560000000000059,-0.593,-0.07549999999999457
118,-0.06999999999998963,0.1060000000000052,-0.03800000000000381,-0.006000000000000227,-0.2699999999999996,-0.900500000000001
119,-0.10000000000000497,0.0,-0.21799999999999642,0.021999999999994913,-0.09699999999999775,-0.7454999999999963
120,0.1600000000000037,0.04000000000000625,0.20600000000000307,0.21199999999999264,0.3709999999999951,0.29750000000000654
121,0.08500000000000085,0.13800000000000168,0.5480000000000018,0.38600000000000634,0.4190000000000005,0.8209999999999944
122,-0.22999999999999687,-0.021999999999994913,-0.03200000000000358,0.038000000000000256,0.18000000000000682,0.42499999999999716
123,-0.3400000000000034,-0.14599999999999724,-0.39800000000000324,-0.04000000000000625,-0.16900000000000048,-0.45849999999999724
124,-0.060000000000002274,-0.14399999999999835,-0.20600000000000307,0.1479999999999997,0.7579999999999956,0.4209999999999958
125,-0.010000000000001563,-0.04999999999999716,0.17800000000000438,0.2960000000000065,0.002999999999996561,-0.26599999999999113
126,-0.19499999999999673,-0.10600000000000165,-0.1909999999999954,0.11200000000000188,0.09500000000000597,-0.45500000000000895
127,-0.4800000000000004,-0.2480000000000011,-0.16799999999999216,-0.09400000000000475,0.5560000000000009,0.4794999999999945
128,-0.21999999999999886,-0.2339999999999982,-0.038000000000000256,0.0020000000000024443,0.3400000000000034,0.12299999999998334
129,-0.10500000000000043,-0.09399999999999764,0.2149999999999963,0.0920000000000023,0.6049999999999933,0.10150000000000148
130,-0.46499999999999986,-0.1479999999999997,-0.08600000000000207,0.09800000000000253,-0.21100000000000918,-1.9159999999999968
131,-0.07500000000000284,-0.08400000000000674,-0.17999999999999616,-0.026000000000006906,1.2790000000000035,0.9569999999999901
132,-0.3099999999999987,-0.23399999999999466,-0.1459999999999937,-0.062000000000001165,0.2100000000000044,0.8614999999999924
133,-0.259999999999998,-0.13400000000000034,-0.1930000000000014,0.05000000000000071,0.5629999999999988,0.8229999999999862
134,-0.3550000000000004,-0.28200000000000003,-0.08600000000000563,-0.02599999999999625,0.46500000000000696,-0.5510000000000126
135,-0.13000000000000256,-0.2859999999999978,-0.23399999999999466,-0.19599999999999795,1.129999999999992,0.9880000000000067
